elastic_triangular	size=262144	load=25	insert=453	hit=338	miss=246	delete=333
elastic_triangular	size=262144	load=50	insert=901	hit=692	miss=567	delete=648
elastic_triangular	size=262144	load=75	insert=1472	hit=1197	miss=1657	delete=1061
elastic_triangular	size=262144	load=90	insert=2239	hit=1848	miss=5977	delete=1584
elastic_triangular	size=262144	load=99	insert=3004	hit=2715	miss=7816	delete=2250
elastic_triangular	size=1048576	load=10	insert=753	hit=547	miss=420	delete=602
elastic_triangular	size=1048576	load=25	insert=1917	hit=2073	miss=1686	delete=1858
elastic_triangular	size=1048576	load=50	insert=3749	hit=9969	miss=5756	delete=6899
elastic_triangular	size=1048576	load=75	insert=6231	hit=18479	miss=13330	delete=11200
elastic_triangular	size=1048576	load=90	insert=9732	hit=25454	miss=39124	delete=14568
elastic_triangular	size=1048576	load=99	insert=13051	hit=31317	miss=68712	delete=16760
elastic_triangular	size=4194304	load=10	insert=4112	hit=9600	miss=4138	delete=8560
elastic_triangular	size=4194304	load=25	insert=11756	hit=29505	miss=16445	delete=22779
elastic_triangular	size=4194304	load=50	insert=21774	hit=64972	miss=40905	delete=45026
elastic_triangular	size=4194304	load=75	insert=34467	hit=105351	miss=79117	delete=67887
elastic_triangular	size=4194304	load=90	insert=48988	hit=137551	miss=211631	delete=84929
elastic_triangular	size=4194304	load=99	insert=62777	hit=166074	miss=360886	delete=96316
flat_linear	size=16384	load=10	insert=11	hit=14	miss=12	delete=13
flat_linear	size=16384	load=25	insert=12	hit=18	miss=14	delete=14
flat_linear	size=16384	load=50	insert=21	hit=37	miss=61	delete=58
flat_linear	size=16384	load=75	insert=73	hit=111	miss=90	delete=86
flat_linear	size=16384	load=90	insert=79	hit=130	miss=107	delete=94
flat_linear	size=16384	load=99	insert=79	hit=133	miss=106	delete=91
flat_linear	size=65536	load=10	insert=30	hit=42	miss=34	delete=37
flat_linear	size=65536	load=25	insert=78	hit=113	miss=89	delete=92
flat_linear	size=65536	load=50	insert=143	hit=222	miss=169	delete=166
flat_linear	size=65536	load=75	insert=184	hit=305	miss=235	delete=220
flat_linear	size=65536	load=90	insert=204	hit=347	miss=261	delete=237
flat_linear	size=65536	load=99	insert=210	hit=361	miss=284	delete=246
flat_linear	size=262144	load=10	insert=84	hit=118	miss=92	delete=103
flat_linear	size=262144	load=25	insert=210	hit=314	miss=245	delete=255
flat_linear	size=262144	load=50	insert=414	hit=661	miss=558	delete=502
flat_linear	size=262144	load=75	insert=623	hit=1083	miss=922	delete=807
flat_linear	size=262144	load=90	insert=758	hit=1460	miss=1246	delete=1094
flat_linear	size=262144	load=99	insert=827	hit=1963	miss=1510	delete=1340
flat_linear	size=1048576	load=10	insert=366	hit=667	miss=503	delete=756
flat_linear	size=1048576	load=25	insert=851	hit=3170	miss=2111	delete=3050
flat_linear	size=1048576	load=50	insert=1691	hit=11148	miss=5261	delete=6739
flat_linear	size=1048576	load=75	insert=2612	hit=19342	miss=10561	delete=10538
flat_linear	size=1048576	load=90	insert=3101	hit=24500	miss=13750	delete=12554
flat_linear	size=1048576	load=99	insert=3878	hit=28499	miss=16906	delete=13997
flat_linear	size=4194304	load=10	insert=3113	hit=10400	miss=5407	delete=7896
flat_linear	size=4194304	load=25	insert=5495	hit=29277	miss=16733	delete=18811
flat_linear	size=4194304	load=50	insert=11755	hit=63242	miss=41132	delete=38847
flat_linear	size=4194304	load=75	insert=20391	hit=104870	miss=73291	delete=67658
flat_linear	size=4194304	load=90	insert=23540	hit=128037	miss=88468	delete=77144
flat_linear	size=4194304	load=99	insert=33714	hit=150612	miss=102605	delete=92844
